Name,Pos,PosSimple,Gm,G,A1,A2,P,iHSC,iSC,iCF,C+ -,F+ -,G+ -,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,Salary,Age,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,MS,SH,SF,GF,SA,GA,FA,CA,SCF,SCA,ShotAttempts,Goals,Assists,ScoringChances,ShotsOnGoal,OddmanRushes,DirectGoals,ReboundsGeneratedFromAttempts,AttemptsWith0Assists,AttemptsWith1Assists,AttemptsWith2Assists,AttemptsWith3Assists,DirectGoalsWith0Assists,DirectGoalsWith1Assists,DirectGoalsWith2Assists,DirectGoalsWith3Assists,ReboundAttempts,ReboundsOnGoal,ReboundGoalsScored,A1OnAttempts,A1OnScoringChances,A1OnShotsOnGoal,A1OnOddmanRushes,A1OnDirectGoals,A2OnAttempts,A2OnScoringChances,A2OnShotsOnGoal,A2OnOddmanRushes,A2OnDirectGoals,A3OnAttempts,A3OnScoringChances,A3OnShotsOnGoal,A3OnOddmanRushes,A3OnDirectGoals
Aaron Ekblad,D,D,16,3,0,2,5,5,14,53,45,38,6,232,183,92,59,11,0,0,12,21,2,1,253.8,0.925,19,54.8463357,44.20803783,99.05437352,43.26241135,34.27895981,77.54137116,33.56973995,25.53191489,9,12,29,142,14,108,8,145,187,120,82,47,2,0,5,22,1,2,2,0,21,20,6,0,0,2,0,0,0,0,10,0,5,0,0,9,1,5,1,0,3,2,1,0,0
Adam Cracknell,C,F,13,2,0,0,2,8,20,31,-29,-23,-2,109,80,43,56,7,47,74,27,10,1,5,149,0.575,30,43.89261745,55.5704698,99.46308725,32.2147651,41.47651007,73.69127517,24.16107383,29.79865772,7,5,17,60,2,74,4,103,138,51,74,18,2,0,12,11,1,2,1,0,4,10,4,0,1,1,0,2,2,0,26,4,12,2,0,16,6,8,1,0,4,2,1,0,0
Adam Henrique,CL,F,48,9,1,9,19,38,66,104,-70,-44,8,452,339,217,171,28,259,319,38,46,5,2,637,4,25,42.57456829,49.16797488,91.74254317,31.93092622,36.07535322,68.00627943,23.73626374,25.90266876,22,17,56,252,29,275,21,383,522,226,233,76,8,6,31,42,4,6,5,1,36,24,15,1,1,1,3,8,4,2,100,16,45,2,0,43,13,27,1,6,21,5,10,2,2
Adam Larsson,D,D,50,1,1,4,6,2,25,94,-95,-42,2,589,457,187,387,63,0,0,85,114,7,0,892,2.5,22,39.61883408,46.00896861,85.62780269,30.73991031,33.56502242,64.30493274,22.39910314,24.75336323,31,26,36,333,23,368,21,499,684,289,308,94,1,3,2,32,0,1,5,0,45,38,11,0,0,1,0,0,0,0,56,14,30,1,1,46,14,24,2,2,11,4,8,0,0
Adam Lowry,LC,F,12,0,2,0,2,5,9,17,-13,8,-1,114,98,40,37,9,36,48,40,14,3,2,139.4,0.925,22,49.06743185,54.66284075,103.7302726,42.18077475,38.7374462,80.91822095,32.28120516,28.40746055,4,3,10,75,3,66,4,90,127,60,66,6,0,2,3,4,0,0,0,0,3,2,1,0,0,0,0,0,0,0,19,8,11,1,2,9,5,5,0,0,4,1,2,0,0
Adam McQuaid,D,D,13,0,0,0,0,0,5,19,9,4,-3,175,125,82,68,21,0,0,33,15,3,3,198.6,3,28,52.87009063,50.1510574,103.021148,37.76435045,36.55589124,74.32024169,29.00302115,27.79456193,8,3,8,96,3,92,6,121,166,87,91,14,0,0,0,5,0,0,0,0,8,4,2,0,0,0,0,1,1,0,19,4,10,0,0,8,4,4,0,0,1,1,0,0,0
Adam Pardy,D,D,2,0,0,0,0,0,0,4,-4,-5,-2,19,16,5,10,0,0,0,1,1,0,0,26,1,31,43.84615385,53.07692308,96.92307692,36.92307692,48.46153846,85.38461538,27.69230769,41.53846154,0,1,3,12,0,18,2,21,23,8,14,4,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,1,0,1,0,0
Alec Martinez,D,D,9,1,1,0,2,1,6,25,42,39,5,173,133,52,39,14,0,0,12,15,2,2,147.8,3.9,28,70.2300406,53.17997294,123.4100135,53.99188092,38.15967524,92.15155616,36.12990528,28.01082544,7,10,7,89,8,69,3,94,131,88,62,22,1,1,0,5,0,1,0,0,10,4,8,0,1,0,0,0,0,0,16,4,8,0,1,10,2,3,0,0,10,2,4,1,0
Aleksander Barkov,C,F,12,1,3,2,6,13,20,25,-3,5,7,132,108,37,49,4,68,73,4,12,0,2,158.8,0.925,20,49.87405542,51.00755668,100.8816121,40.80604534,38.91687657,79.72292191,31.36020151,29.09319899,2,4,18,83,9,77,2,103,135,73,47,19,0,4,9,8,3,0,0,0,8,6,5,0,0,0,0,2,1,0,36,14,21,0,3,12,3,7,1,1,5,3,4,0,0
Ales Hemsky,R,F,24,3,3,2,8,20,45,78,58,39,1,282,201,68,81,10,0,1,9,22,2,3,260.4,4,32,64.97695853,51.61290323,116.5898618,46.31336406,37.32718894,83.640553,32.25806452,26.95852535,21,9,45,140,10,117,9,162,224,145,112,56,3,5,18,26,1,2,3,0,30,20,6,0,2,0,0,5,4,1,56,23,16,2,3,30,15,7,1,2,4,2,3,0,0
