NameCode,Name,Pos,home,G,A1,A2,P,iHSC,iSC,iCF,C+/-,F+/-,G+/-,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,AB,MS,SH,SF,SA,GF,GA,FF,FA,CF,CA,SCF,SCA,GameID
stralan86,Anton.Stralman,D,1,0,0,0,0,0,0,1,16,14,2,17,14,7,1,0,0,0,2,1,0,0,16,63.8,3.8,67.5,52.5,0,52.5,37.5,0,0,0,0,1,10,0,2,0,14,0,17,1,7,0,20687
namesvl92,Vladislav.Namestnikov,LC,1,1,1,0,2,3,3,3,12,10,2,14,11,6,1,0,2,2,0,2,0,0,11.3,74.4,10.6,85,58.5,5.3,63.8,42.5,0,0,0,2,0,8,0,2,0,11,1,14,2,8,0,20687
vasilan94,Andrei.Vasilevskiy,G,1,0,0,0,0,0,0,0,10,8,1,46,38,18,7,0,0,0,0,0,0,0,47.5,58.1,45.4,103.5,48,37.9,85.8,34.1,25.2,0,0,0,0,27,20,4,3,38,30,46,36,26,22,20687
stamkst90,Steven.Stamkos,CR,1,0,0,2,2,2,2,5,8,7,1,16,13,6,2,0,2,5,0,2,1,0,12.3,77.8,38.9,116.8,63.2,29.2,92.4,43.8,24.3,1,0,0,4,9,5,2,1,13,6,16,8,10,5,20687
nesteni93,Nikita.Nesterov,D,1,1,0,0,1,0,1,3,8,3,1,17,12,8,3,0,0,0,1,2,0,1,16.9,60.2,31.9,92,42.5,31.9,74.3,31.9,17.7,2,0,0,0,9,5,1,0,12,9,17,9,9,6,20687
hedmavi90,Victor.Hedman,D,1,0,0,0,0,0,0,2,8,8,-1,17,14,7,1,0,0,0,1,1,0,0,17.6,57.9,30.6,88.5,47.7,20.4,68.1,34,17,0,0,0,2,10,5,1,2,14,6,17,9,9,6,20687
palaton91,Ondrej.Palat,L,1,1,1,0,2,0,2,4,6,5,1,14,11,6,2,1,0,0,1,1,0,0,11.4,73.6,42.1,115.7,57.9,31.6,89.4,42.1,26.3,1,1,1,1,8,5,2,1,11,6,14,8,8,5,20687
brownjt90,J.T..Brown,RL,1,0,0,0,0,0,0,0,6,7,0,10,10,3,0,0,0,0,1,2,0,0,11.1,53.9,21.6,75.5,53.9,16.2,70.1,37.8,10.8,0,0,0,0,7,2,0,0,10,3,10,4,4,3,20687
callary85,Ryan.Callahan,R,1,0,0,0,0,3,5,9,4,7,0,12,12,3,0,0,0,0,4,2,0,1,13.5,53.4,35.6,89,53.4,22.2,75.6,35.6,13.3,0,0,3,6,8,3,0,0,12,5,12,8,6,4,20687
killoal89,Alex.Killorn,LR,1,0,1,1,2,2,3,3,3,0,1,15,12,6,5,0,0,0,2,0,0,0,15,60.1,48.1,108.2,48.1,48.1,96.2,32.1,28.1,0,0,1,2,8,7,2,1,12,12,15,12,10,7,20687
coburbr85,Braydon.Coburn,D,1,0,0,0,0,0,1,3,1,-1,0,14,11,4,4,0,0,0,0,0,0,0,16.2,52,48.3,100.3,40.8,44.6,85.4,29.7,29.7,1,0,1,1,8,8,1,1,11,12,14,13,8,9,20687
