Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Ducks,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:30,5v5,ANA,15,W,26,,,or,,,,,,,,,,0,31,20030,10/10/2015,S.J,ANA,31,31,,15,29,26,2,47,31,,8,19,27,7,88,31
1,19:20,5v5,ANA,15,S,47,29,26,ol,oelpc,oell,,,,,,,,0,31,20030,10/10/2015,S.J,ANA,32,30,,15,29,26,2,47,31,,8,19,27,7,88,31
1,18:12,5v5,S.J,83,S,48,7,88,ol,dsl,dr,Y,,3 on 2,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,10,67,46,3,45,31,,48,57,83,4,88,31
1,18:08,5v5,S.J,4,S,80,50,,ol,of,,,,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,7,17,33,2,47,31,,50,89,18,4,80,31
1,16:07,5v5,ANA,3,W,15,29,,orrl,dsc,,,,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,15,29,26,3,45,31,,12,39,42,7,88,31
1,15:25,5v5,ANA,33,W,2,33,7,orrl,ol,dsl,,Y,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,7,17,33,2,47,31,,48,57,83,4,80,31
1,15:06,5v5,ANA,10,W,67,,,of,,,,,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,10,67,46,3,45,31,,48,57,83,4,80,31
1,14:20,5v4,ANA,17,W,33,2,17,orrl,ol,oelrrl,Y,Y,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,17,33,19,2,47,31,,50,89,7,88,31,0
1,14:03,5v4,ANA,47,W,17,47,17,orrr,oprrr,or,,,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,17,33,19,2,47,31,,50,89,7,88,31,0
1,13:13,4v5,S.J,39,W,12,,,nsc,,,,,,,39,Y,,0,31,20030,10/10/2015,S.J,ANA,,,,15,10,29,4,45,31,,12,39,44,61,31,0
1,12:47,5v4,ANA,4,W,15,29,4,ol,ol,orrl,,Y,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,15,10,29,4,45,31,,57,83,4,7,31,0
1,12:07,5v5,S.J,80,S,27,,,ol,,,,Y,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,22,25,19,2,47,31,,8,19,27,4,80,31
1,11:57,5v5,S.J,80,S,19,,,orrl,,,,Y,,,,,,0,31,20030,10/10/2015,S.J,ANA,,,,22,25,19,2,47,31,,8,19,27,4,80,31
