Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Coyotes,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:26,5v5,N.J,13,t,14,,,or,,,,y,,,,,,0,41,20081,10/20/2015,N.J,ARI,35,41,,16,50,19,4,23,41,,14,20,13,5,6,35
1,18:38,5v5,N.J,2,o,28,19,,or,of,,,y,,,,,,0,41,20081,10/20/2015,N.J,ARI,1,29,,16,12,89,26,34,41,,9,19,21,2,28,35
1,17:55,5v5,N.J,8,t,16,,,or,,,,,,,,,,0,41,20081,10/20/2015,N.J,ARI,,,,15,48,89,26,34,41,,9,14,19,21,5,6
1,17:49,5v5,N.J,14,w,22,,,orrr,,,,,,,,,,0,41,20081,10/20/2015,N.J,ARI,,,,15,48,89,26,34,41,,9,14,19,21,5,6
1,17:29,5v4,N.J,21,o,28,16,14,or,opr,oelr,,,,,,,,0,41,20081,10/20/2015,N.J,ARI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,12:59,5v5,ARI,8,o,11,,,of,,,,,,,,,,0,35,20081,10/20/2015,N.J,ARI,,,,8,11,10,4,23,41,,14,20,13,8,44,35
1,12:25,5v5,N.J,6,w,19,,,opl,,,,,,,,,,0,41,20081,10/20/2015,N.J,ARI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,12:12,5v5,N.J,19,w,9,,,or,,,,y,,,,,,0,41,20081,10/20/2015,N.J,ARI,,,,16,12,89,26,34,41,,9,19,21,5,6,35
1,11:08,5v5,N.J,22,w,16,2,,nl,dl,,,,,,,,,0,41,20081,10/20/2015,N.J,ARI,,,,24,50,19,26,34,41,,18,11,22,8,44,35
1,5:13,5v5,N.J,28,w,21,,,oc,,,,,,,,,,0,41,20081,10/20/2015,N.J,ARI,,,,16,12,89,2,5,41,,9,19,21,2,28,35
