Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Sabres,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:46,5v5,T.B,5,w,17,,,dsl,,,,y,,,,,,0,31,20067,10/17/2015,T.B,BUF,30,31,,23,63,90,3,29,31,,13,17,51,5,25,30
1,17:09,5v5,BUF,23,o,93,,,oelc,,,y,y,,y,,,,0,30,20067,10/17/2015,T.B,BUF,35,50,,23,63,90,3,29,31,,17,51,86,5,29,30
1,16:36,5v5,BUF,88,s,17,55,4,or,nr,dl,,,,,,,,-1,30,20067,10/17/2015,T.B,BUF,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,15:47,5v5,BUF,29,s,90,,,ofp,,,,,,,,,,-1,30,20067,10/17/2015,T.B,BUF,,,,23,63,90,3,29,31,,9,86,18,25,55,30
1,15:43,5v5,BUF,3,s,90,,,opr,,,,,,,,,,-1,30,20067,10/17/2015,T.B,BUF,,,,23,63,90,3,29,31,,9,86,18,25,55,30
1,15:17,5v5,BUF,90,w,63,,,nr,,,y,,,,,,,-1,30,20067,10/17/2015,T.B,BUF,,,,23,63,90,4,55,31,,9,86,18,25,55,30
1,15:10,5v5,BUF,55,w,23,,,oelr,,,,y,,,,,,-1,30,20067,10/17/2015,T.B,BUF,,,,23,63,90,4,55,31,,9,86,18,25,55,30
1,14:40,5v5,T.B,29,w,23,25,,opl,dr,,,,,,,,,-1,31,20067,10/17/2015,T.B,BUF,,,,28,26,82,4,55,31,,11,90,23,5,29,30
1,13:05,5v5,BUF,12,w,15,,,oc,,,,y,,,,,,-1,30,20067,10/17/2015,T.B,BUF,,,,15,12,9,3,29,31,,91,24,27,25,62,30
1,12:56,5v5,T.B,25,w,27,,,oc,,,,y,,,,,,-1,31,20067,10/17/2015,T.B,BUF,,,,15,12,9,3,29,31,,91,24,27,25,62,30
1,12:22,5v5,T.B,86,b,55,6,,nc,dr,,,y,,,,,,-1,31,20067,10/17/2015,T.B,BUF,,,,15,9,82,4,55,31,,9,86,18,6,25,30
1,12:00,5v5,BUF,28,w,82,6,46,nl,dl,dr,y,y,,,,,,-1,30,20067,10/17/2015,T.B,BUF,,,,28,26,82,6,46,31,,11,90,23,6,55,30
