Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Blue Jackets,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:35,5v5,CBJ,51,o,19,,,opl,,,,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,72,30,,19,20,71,7,51,72,,20,21,13,18,22,30
1,19:06,5v5,CBJ,18,w,27,,,oc,,,y,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,30,32,,17,38,18,27,58,72,,16,36,61,5,27,30
1,18:53,5v5,CBJ,43,t,41,43,,or,or,,y,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,41,13,43,4,47,72,,26,28,19,8,93,30
1,18:30,5v5,CBJ,43,b,13,,,or,,,,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,9,13,43,4,47,72,,26,28,19,8,93,30
1,18:07,5v5,NYR,10,o,24,,,oell,,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,9,40,11,7,51,72,,10,24,25,18,22,30
1,17:12,5v5,CBJ,58,w,38,,,oelc,,,,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,17,38,18,27,58,72,,20,21,13,8,93,30
1,13:49,5v4,NYR,21,s,13,10,,opl,oelr,,,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,17,13,27,58,72,0,,10,20,21,13,27,30
1,13:06,5v4,NYR,61,w,36,,,ol,,,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,19,20,7,51,72,0,,16,36,61,22,93,30
1,11:10,5v5,CBJ,19,o,71,20,58,or,oc,nsr,,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,20,71,7,51,72,,10,24,25,5,18,30
1,9:45,5v5,NYR,13,t,20,,,ol,,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,9:28,5v5,CBJ,43,o,13,,,oelc,,,y,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,9,13,43,27,58,72,,26,28,19,22,93,30
1,9:17,5v5,NYR,26,s,28,26,,nc,dc,,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,9,13,43,27,58,72,,26,28,19,22,93,30
1,8:56,5v5,NYR,18,w,28,,,opl,,,,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,9,40,11,4,47,72,,26,28,19,18,22,30
1,8:50,5v5,NYR,19,o,26,,,or,,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,9,40,11,4,47,72,,26,28,19,18,22,30
1,8:15,5v5,CBJ,51,w,71,7,,or,nr,,,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,20,71,7,51,72,,10,24,25,18,22,30
1,6:14,5v4,NYR,27,o,21,10,20,oc,opr,oell,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,41,13,27,58,72,0,,10,20,21,13,27,30
1,6:05,5v4,NYR,27,w,13,20,,opr,oelc,,,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,41,13,27,58,72,0,,10,20,21,13,27,30
1,4:50,5v5,NYR,5,w,18,,,or,,,,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,18,20,71,27,58,72,,16,26,19,5,18,30
1,4:40,5v5,CBJ,20,w,71,,,dsc,,,y,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,18,20,71,27,58,72,,26,28,19,5,18,30
1,1:43,5v5,CBJ,20,b,71,19,71,oc,or,or,y,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,20,71,47,58,72,,16,20,13,8,93,30
1,1:30,5v5,NYR,8,o,16,93,20,opr,ol,ol,,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,9,43,71,47,51,72,,16,20,13,8,93,30
2,18:40,5v5,CBJ,43,o,17,,,oelc,,,y,y,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,17,13,43,4,47,72,,26,28,19,8,18,30
2,18:30,5v4,CBJ,19,w,43,,,oc,,,,y,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,72,,16,21,5,27,30,0
2,17:31,5v4,CBJ,18,t,20,7,20,oc,oc,oc,y,y,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,19,18,20,71,7,72,,24,26,5,18,30,0
2,16:49,5v4,CBJ,17,w,58,7,58,oc,oc,opr,,,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,17,13,18,7,58,72,,28,25,5,27,30,0
2,15:45,5v4,CBJ,19,w,27,20,19,oc,or,ofp,,y,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,72,,28,19,5,27,30,0
2,14:00,5v4,CBJ,7,w,58,13,17,oc,opr,nc,y,y,,,,,,-1,30,20013,10/9/2015,CBJ,NYR,,,,17,13,18,7,58,72,,24,25,5,27,30,0
