Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Panthers,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,15:06,5v4,FLA,27,w,5,11,16,or,opr,oc,,y,,y,,,,1,35,20020,10/10/2015,FLA,PHI,1,35,,11,16,27,68,5,1,,76,78,15,55,35,0
1,14:28,5v4,FLA,73,o,51,21,,ol,opl,,y,,,,,,,2,35,20020,10/10/2015,FLA,PHI,35,30,,21,73,18,36,51,1,,14,25,15,55,35,0
1,14:14,5v4,FLA,18,w,73,21,51,or,ol,oc,y,y,,y,,,,2,35,20020,10/10/2015,FLA,PHI,,,,21,73,18,36,51,1,,14,25,15,55,35,0
1,10:45,5v5,PHI,78,o,76,,,or,,,y,y,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,21,63,36,6,33,1,,25,76,78,22,82,30
1,9:33,5v5,FLA,33,s,11,68,,opr,nl,,,,,,,,,4,30,20020,10/10/2015,FLA,PHI,,,,11,16,68,33,44,1,,28,93,12,32,55,30
1,9:24,5v5,PHI,32,w,93,,,ol,,,y,y,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,11,16,68,33,44,1,,28,93,12,15,32,30
1,7:59,5v5,PHI,12,b,28,12,32,or,nc,dc,,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,11,16,68,33,44,1,,28,93,12,32,82,30
1,7:43,5v5,FLA,11,b,68,16,,ol,ol,,,,,,,,,4,30,20020,10/10/2015,FLA,PHI,,,,11,16,68,7,44,1,,28,93,12,32,82,30
1,7:18,5v5,FLA,17,w,7,22,86,ol,ol,ol,y,y,,,,,,4,30,20020,10/10/2015,FLA,PHI,,,,17,22,86,6,7,1,,28,93,12,32,82,30
1,5:32,5v5,PHI,10,w,17,14,22,dc,dc,nr,,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,21,63,36,33,44,1,,10,14,17,32,82,30
1,3:25,5v5,FLA,21,o,36,51,63,or,oc,of,y,y,,,,,,4,30,20020,10/10/2015,FLA,PHI,,,,21,63,36,5,51,1,,20,24,21,15,23,30
1,0:19,5v5,PHI,93,w,12,,,oelc,,,,,,,,,,4,1,20020,10/10/2015,FLA,PHI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,19:27,5v5,FLA,68,w,16,,,or,,,y,y,,y,,,,4,30,20020,10/10/2015,FLA,PHI,,,,11,16,68,33,44,1,,28,93,12,32,55,30
2,18:51,5v5,FLA,63,w,36,21,,dc,dr,,,y,3 on 2,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,21,63,36,6,7,1,,10,14,17,15,23,30
2,17:59,5v5,FLA,18,s,73,27,,oelc,ol,,,,,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,27,73,18,5,51,1,,20,24,21,22,82,30
2,17:42,5v5,FLA,51,w,18,,,opr,,,,,,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,27,73,18,5,51,1,,20,24,21,22,82,30
2,17:29,5v5,FLA,22,s,7,17,,opl,of,,,,,,,,,5,30,20020,10/10/2015,FLA,PHI,,,,27,73,18,5,51,1,,20,24,21,22,82,30
2,16:47,5v5,PHI,55,w,78,,,opl,,,,,,,,,,5,1,20020,10/10/2015,FLA,PHI,,,,17,22,86,6,33,1,,25,76,78,32,55,30
