Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Kings,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,18:56,5v5,S.J,8,t,61,88,8,or,opl,opc,y,y,,,,,,0,32,20004,10/08/2015,L.A,S.J,32,31,,11,12,17,10,55,32,,8,19,27,44,61,31
1,18:52,5v5,S.J,48,w,57,,,of,,,,,,,,,,0,32,20004,10/08/2015,L.A,S.J,1,32,,11,12,17,10,55,32,,8,19,27,44,61,31
1,18:12,5v5,L.A,21,t,23,8,23,or,or,oelpr,y,y,,y,,,,0,31,20004,10/08/2015,L.A,S.J,,,,21,22,23,8,27,32,,48,57,83,4,80,31
1,17:51,5v5,L.A,6,w,8,71,,oc,opr,,,,,,,,,1,31,20004,10/08/2015,L.A,S.J,,,,15,71,17,6,8,32,,50,57,89,7,88,31
1,17:25,5v5,L.A,73,w,55,,,nl,,,,,,,,,,1,31,20004,10/08/2015,L.A,S.J,,,,73,77,70,10,55,32,,12,39,42,44,61,31
1,16:12,5v5,S.J,27,b,19,,,dl,,,,y,,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,11,12,17,2,27,32,,8,19,27,7,88,31
1,15:57,5v5,S.J,83,w,48,8,48,nc,dr,dc,,y,3 on 2,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,21,12,17,2,27,32,,48,57,83,4,80,31
1,15:00,5v5,S.J,44,w,50,,,ofp,,,,y,,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,15,71,77,10,55,32,,8,50,89,44,61,31
1,14:27,5v5,S.J,12,w,39,88,7,orrr,dsr,dl,y,y,1 on 0,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,73,77,70,6,8,32,,12,39,42,7,88,31
1,14:13,5v5,S.J,88,o,12,,,oelpr,,,,,,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,73,77,70,6,8,32,,12,39,42,7,88,31
1,13:43,5v5,L.A,10,w,11,12,55,ol,nr,dc,,,,,,,,1,31,20004,10/08/2015,L.A,S.J,,,,11,12,17,10,55,32,,8,19,27,44,61,31
1,12:52,5v5,S.J,83,w,57,48,,ol,ol,,,y,,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,21,22,23,6,8,32,,48,57,83,4,80,31
1,12:47,5v5,S.J,4,o,83,,,opl,,,,,,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,21,22,23,6,8,32,,48,57,83,4,80,31
1,12:32,5v5,L.A,6,w,22,8,32,dr,dc,dc,,y,,,,,,1,31,20004,10/08/2015,L.A,S.J,,,,21,22,23,6,8,32,,12,48,42,4,80,31
1,11:52,5v5,S.J,39,o,42,39,12,ol,ol,oell,,y,,,,,,1,32,20004,10/08/2015,L.A,S.J,,,,15,71,70,10,55,32,,12,39,42,7,88,31
1,11:11,5v5,L.A,27,w,77,73,27,nc,dr,dc,,y,,,,,,1,31,20004,10/08/2015,L.A,S.J,,,,73,77,70,2,27,32,,50,57,89,44,61,31
1,10:19,5v5,S.J,19,w,7,,,dr,,,y,y,3 on 1,y,,,,1,32,20004,10/08/2015,L.A,S.J,,,,11,12,17,6,8,32,,8,19,27,7,88,31
1,9:39,5v5,L.A,23,w,21,,,dr,,,,,,,,,,0,31,20004,10/08/2015,L.A,S.J,,,,21,22,23,10,55,32,,48,57,83,4,80,31
