Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Habs,F,F,F,D,D,G/Extra Attacker,Leafs,F,F,F,D,D,G/Extra Attacker
1,19:09,5v5,TOR,28,W,21,3,2,nl,dsc,dl,,Y,,,,,,0,31,20001,10/7/2015,TOR,MTL,45,31,,51,22,15,26,74,31,,43,28,21,36,51,45
1,18:04,5v5,TOR,36,W,24,,,of,,,,,,,,,,0,31,20001,10/7/2015,TOR,MTL,,,,27,81,13,26,74,31,,16,26,15,44,52,45
1,17:23,5v5,TOR,19,T,3,42,,ol,ofp,,,,,,,,,0,31,20001,10/7/2015,TOR,MTL,,,,17,32,21,28,77,31,,23,42,19,2,3,45
1,16:51,5v5,MTL,67,W,76,,,dsl,,,Y,Y,,Y,,,,0,45,20001,10/7/2015,TOR,MTL,,,,14,11,67,76,79,31,,23,43,28,44,52,45
1,16:17,5v5,MTL,13,S,81,13,,or,or,,,,,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,27,81,13,26,76,31,,43,28,21,44,52,45
1,15:51,5v5,MTL,15,W,22,,,nc,,,Y,,,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,51,22,15,26,74,31,,16,26,15,36,51,45
1,15:27,5v5,MTL,22,T,51,15,31,ol,dl,dc,Y,,3 on 2,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,51,22,67,26,77,31,,16,26,15,44,52,45
1,14:31,4v4,TOR,21,T,43,21,3,ol,oc,dr,Y,,,,,,,-1,31,20001,10/7/2015,TOR,MTL,,,,14,67,26,74,31,0,,43,21,2,3,45,0
1,11:46,5v5,TOR,23,W,3,42,,dsl,df,,Y,Y,,,,,,-1,31,20001,10/7/2015,TOR,MTL,,,,14,11,67,26,74,31,,23,42,19,2,3,45
1,11:35,5v5,MTL,14,W,26,,,nl,,,,Y,,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,14,11,67,26,74,31,,23,42,19,2,3,45
1,10:58,5v5,TOR,43,W,44,,,dc,,,,,,,,,,-1,31,20001,10/7/2015,TOR,MTL,,,,27,81,13,76,79,31,,43,19,21,2,44,45
1,10:28,5v5,TOR,21,W,28,21,51,oc,nl,nl,,,,,,,,-1,31,20001,10/7/2015,TOR,MTL,,,,17,32,21,76,79,31,,43,28,21,36,51,45
1,8:49,5v5,MTL,14,W,76,,,nc,,,,Y,,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,14,11,67,76,79,31,,23,42,19,2,3,45
1,8:44,5v5,MTL,76,W,14,,,of,,,,,,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,14,11,67,76,79,31,,23,42,19,2,3,45
1,8:16,5v5,TOR,2,W,23,,,or,,,,,,,,,,-1,31,20001,10/7/2015,TOR,MTL,,,,14,11,67,76,79,31,,23,42,19,2,3,45
1,7:41,5v4,MTL,79,W,81,,,of,,,Y,,,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,27,81,13,76,79,31,,16,26,2,44,45,0
1,7:06,5v4,MTL,76,O,79,27,,or,or,,,,,,,,,-1,45,20001,10/7/2015,TOR,MTL,,,,27,81,13,76,79,31,,16,26,2,44,45,0
