Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Preds,F,F,F,D,D,G/Extra Attacker,Devils,F,F,F,D,D,G/Extra Attacker
1,19:41,5v5,NSH,18,w,63,,,of,,,y,y,,,,,,0,1,20037,10/13/2015,N.J,NSH,1,35,,63,9,18,4,14,35,,9,14,21,5,6,1
1,18:24,5v5,NSH,57,w,5,3,,dsc,dr,,,y,,,,,,0,1,20037,10/13/2015,N.J,NSH,40,30,,11,19,57,3,5,35,,16,18,20,8,44,1
1,18:15,5v5,NSH,19,s,3,,,opr,,,,,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,11,19,57,3,5,35,,16,18,20,8,44,1
1,17:04,5v5,NSH,6,w,59,15,,ol,oelpc,,,,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,15:49,5v5,NSH,9,w,18,63,18,oc,nr,dc,y,y,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,63,9,18,3,5,35,,19,21,13,8,44,1
1,15:43,5v5,NSH,3,w,5,19,11,ol,opc,of,,,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,63,9,18,3,5,35,,19,21,13,8,44,1
1,14:47,5v5,NSH,33,w,12,,,of,,,y,,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,15,33,6,59,35,,16,18,20,5,6,1
1,14:15,5v5,N.J,20,w,6,,,oc,,,,,,,,,,0,35,20037,10/13/2015,N.J,NSH,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,12:18,5v5,NSH,15,w,33,,,nl,,,,y,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,15,33,3,5,35,,19,22,13,7,28,1
1,10:29,5v5,NSH,3,s,12,,,of,,,,,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,15,33,3,5,35,,9,14,21,5,6,1
1,10:18,5v5,N.J,14,w,9,21,14,oelc,or,oc,,y,,,,,,0,35,20037,10/13/2015,N.J,NSH,,,,12,15,33,3,5,35,,9,14,21,5,6,1
1,10:04,5v4,NSH,9,w,6,12,,oc,of,,y,,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,9,18,6,59,35,,19,20,5,6,1,0
1,9:58,5v4,NSH,9,w,6,59,,oc,opr,,y,,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,9,18,6,59,35,,19,20,5,6,1,0
1,9:44,5v4,NSH,6,o,59,6,18,or,oc,opc,,y,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,9,18,6,59,35,,14,16,5,6,1,0
1,9:39,5v4,NSH,6,o,59,6,59,oc,oc,oc,,y,,,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,9,18,6,59,35,,14,16,5,6,1,0
1,9:28,5v4,NSH,59,o,6,9,,oc,opl,,,y,,y,,,,0,1,20037,10/13/2015,N.J,NSH,,,,12,9,18,6,59,35,,14,16,5,6,1,0
1,8:58,5v5,N.J,20,w,18,7,,nl,dc,,,y,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,11,19,57,4,14,35,,16,18,20,7,28,1
1,6:02,5v5,N.J,44,w,22,13,7,opl,ol,ol,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,4:40,5v5,N.J,20,w,18,,,dl,,,,y,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,28,24,51,4,14,35,,16,18,20,5,6,1
1,3:05,5v5,N.J,9,w,8,,,dl,,,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,12,15,33,3,5,35,,9,19,21,8,44,1
1,2:13,5v5,N.J,22,w,9,22,6,nc,dc,dc,,y,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,12,15,33,6,59,35,,14,22,13,5,6,1
1,1:41,5v5,NSH,18,w,9,,,nc,,,,y,,,,,,-1,1,20037,10/13/2015,N.J,NSH,,,,63,9,18,4,14,35,,19,22,13,7,28,1
1,0:06,5v5,NSH,57,w,19,,,nl,,,,y,,,,,,-1,1,20037,10/13/2015,N.J,NSH,,,,11,19,57,6,59,35,,9,19,21,5,6,1
2,17:53,5v5,N.J,8,w,19,,,of,,,,y,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,11,19,57,4,14,35,,19,22,13,8,44,1
2,16:52,5v5,N.J,22,w,13,,,or,,,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,12,15,33,3,5,35,,19,22,13,8,44,1
2,16:36,5v5,N.J,15,t,6,5,25,ol,or,opr,y,y,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,12,15,33,3,6,35,,25,11,15,5,6,1
2,16:12,5v5,N.J,5,s,25,15,,oelpr,oc,,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,12,15,33,3,6,35,,25,11,15,5,6,1
2,15:49,5v5,N.J,7,o,6,9,,ol,opl,,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,14:46,5v5,N.J,14,w,5,,,or,,,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,11,9,18,4,14,35,,9,14,21,5,6,1
2,14:05,5v4,N.J,20,w,44,19,13,ol,oelpl,oc,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,28,57,6,59,35,0,,9,19,20,13,44,1
2,12:29,5v5,N.J,15,w,11,5,,oc,nc,,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,19,63,9,6,59,35,,25,11,15,5,6,1
2,11:21,5v5,N.J,8,w,22,,,opl,,,,y,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,15,33,63,4,6,35,,19,22,13,7,8,1
2,10:50,5v5,N.J,8,o,19,22,8,opl,or,nc,,y,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,15,33,63,4,6,35,,19,22,13,7,8,1
2,10:40,5v5,N.J,28,o,8,20,,or,opr,,,,,,,,,-1,35,20037,10/13/2015,N.J,NSH,,,,15,33,63,4,6,35,,16,18,20,8,28,1
2,10:07,5v5,NSH,11,w,9,3,,or,nc,,,y,,,,,,-1,1,20037,10/13/2015,N.J,NSH,,,,11,9,18,3,5,35,,16,18,20,8,28,1
2,8:40,5v5,NSH,59,w,12,,,of,,,,y,,,,,,-1,1,20037,10/13/2015,N.J,NSH,,,,12,15,33,6,59,35,,19,22,13,7,8,1
