Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Isles,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:22,5v5,NYI,18,w,17,,,ol,,,Y,,,,,,,0,33,20026,10/10/2015,CHI,NYI,33,30,Starter,18,91,17,3,44,30,,19,28,81,4,43,33
1,17:25,5v5,CHI,86,s,14,7,,nr,dc,,,y,,,,,,0,30,20026,10/10/2015,CHI,NYI,50,1,Backup,53,15,17,2,55,30,,14,29,86,2,4,33
1,16:16,5v5,NYI,21,w,12,51,,dl,dl,,,y,,,,,,0,33,20026,10/10/2015,CHI,NYI,,,,12,51,21,3,44,30,,15,72,88,6,57,33
1,16:13,5v5,NYI,51,o,12,,,oelc,,,,,,,,,,0,33,20026,10/10/2015,CHI,NYI,,,,12,51,21,3,44,30,,15,72,88,6,57,33
1,15:53,5v5,CHI,88,w,57,72,,oc,opl,,,y,,,57,y,y,0,30,20026,10/10/2015,CHI,NYI,,,,12,51,21,3,44,30,,15,72,88,6,57,33
1,15:36,5v5,NYI,27,,29,,,opl,,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,15:03,5v5,NYI,53,s,15,37,,nc,dsr,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,11,16,65,2,57,33
1,14:50,5v5,CHI,16,w,2,,,dc,,,,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,11,16,65,2,57,33
1,14:43,5v5,CHI,6,w,81,57,19,oc,oc,of,,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,19,28,81,6,57,33
1,13:54,5v5,CHI,15,a,88,,,or,,,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,18,27,91,3,55,30,,15,72,88,2,4,33
