Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,NYR,F,F,F,D,D,G/Extra Attacker,OPP,F,F,F,D,D,G/Extra Attacker
1,19:05,5v5,NYR,20,s,16,19,,dc,dr,,,y,,,,,,0,35,20075,10/18/2015,NYR,N.J,30,35,,16,20,19,5,93,30,,19,21,13,8,28,35
1,18:26,5v5,NYR,5,s,19,20,,opr,or,,,y,,,,,,0,35,20075,10/18/2015,NYR,N.J,32,1,,16,20,19,5,93,30,,9,19,21,8,28,35
1,16:49,5v5,NYR,21,b,24,,,orrl,,,y,y,2 on 1,y,,,,0,35,20075,10/18/2015,NYR,N.J,,,,21,24,36,8,27,30,,14,20,13,5,6,35
1,16:29,5v5,NYR,20,w,16,,,oelc,,,y,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,16,20,19,8,27,30,,9,19,21,5,6,35
1,14:40,5v5,NYR,21,w,36,21,,ol,ol,,y,y,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,21,36,61,8,27,30,,14,20,13,8,28,35
1,13:03,5v5,NYR,20,w,5,,,dr,,,,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,10,16,20,5,93,30,,12,16,22,5,6,35
1,12:02,5v5,N.J,44,s,51,11,,opr,or,,,y,,,,,,1,30,20075,10/18/2015,NYR,N.J,,,,10,24,26,8,27,30,,25,51,11,2,44,35
1,11:24,5v5,N.J,20,w,28,,,nc,,,,y,,,,,,1,30,20075,10/18/2015,NYR,N.J,,,,10,24,26,8,27,30,,14,20,13,8,28,35
1,9:49,5v5,NYR,93,w,20,,,opr,,,,y,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,16,20,19,5,93,30,,9,19,21,5,6,35
1,8:42,5v5,NYR,10,o,24,18,10,orrl,ol,dr,y,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,10,24,13,18,22,30,,14,20,13,2,44,35
1,8:34,5v5,N.J,20,w,13,,,dc,,,,y,,,,,,1,30,20075,10/18/2015,NYR,N.J,,,,10,24,13,18,22,30,,14,20,13,2,44,35
1,7:46,5v5,NYR,25,t,28,8,,ol,dr,,,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,26,28,25,8,27,30,,25,51,11,8,28,35
1,6:07,5v5,N.J,2,s,21,19,,ol,nl,,,,,,,,,1,30,20075,10/18/2015,NYR,N.J,,,,16,20,19,8,27,30,,9,19,21,2,44,35
1,4:28,5v5,NYR,18,s,25,26,,or,of,,,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,26,28,25,18,22,30,,25,51,11,5,6,35
1,3:40,5v5,NYR,25,w,27,,,oc,,,,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,26,25,61,8,27,30,,25,51,11,8,28,35
1,2:04,5v5,NYR,19,w,16,20,,or,dc,,,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,16,20,19,5,93,30,,14,20,13,2,44,35
1,1:52,5v5,N.J,13,s,20,,,nr,,,,y,,,,,,1,30,20075,10/18/2015,NYR,N.J,,,,16,20,19,5,93,30,,16,20,13,2,44,35
1,1:47,5v5,N.J,2,w,16,,,of,,,,y,,,,,,1,30,20075,10/18/2015,NYR,N.J,,,,26,28,25,18,22,30,,12,16,22,2,44,35
1,0:47,5v5,NYR,8,w,10,,,opr,,,,,,,,,,1,35,20075,10/18/2015,NYR,N.J,,,,10,24,13,8,27,30,,9,19,21,8,28,35
2,18:57,5v5,N.J,9,w,19,6,,nl,dl,,,y,,,,,,1,30,20075,10/18/2015,NYR,N.J,,,,16,20,19,22,93,30,,9,19,22,2,44,35
2,18:10,5v5,N.J,14,w,13,,,ol,,,,y,,,14,y,y,1,30,20075,10/18/2015,NYR,N.J,,,,10,24,13,5,18,30,,14,20,13,8,28,35
2,16:45,5v5,N.J,5,w,12,,,opc,,,,y,,,,,,0,30,20075,10/18/2015,NYR,N.J,,,,21,36,61,5,27,30,,12,16,25,5,6,35
2,14:34,5v5,N.J,28,w,51,11,28,opc,or,or,,,,,,,,0,30,20075,10/18/2015,NYR,N.J,,,,24,13,19,22,93,30,,9,51,11,8,28,35
