Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Sens,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:35,5v5,MTL,22,w,51,,,nc,,,,y,,,,,,0,29,20031,10/11/2015,OTT,MTL,29,39,Starter,93,6,16,3,65,29,,51,22,15,26,74,39
1,19:21,5v5,MTL,15,o,51,,,oelr,,,y,,,,,,,0,29,20031,10/11/2015,OTT,MTL,41,31,Backup,93,6,16,3,65,29,,51,21,15,26,74,39
1,18:12,5v5,MTL,67,o,77,28,11,ol,ol,opr,y,,,,,,,0,29,20031,10/11/2015,OTT,MTL,,,,15,25,9,5,46,29,,14,11,67,28,77,39
1,18:01,5v5,MTL,77,w,11,28,14,ol,ol,opl,,,,,,,,0,29,20031,10/11/2015,OTT,MTL,,,,15,25,9,5,46,29,,14,11,67,28,77,39
1,17:36,5v5,MTL,76,o,11,67,14,opr,or,or,,y,,,,,,0,29,20031,10/11/2015,OTT,MTL,,,,15,25,9,5,46,29,,14,11,67,28,76,39
1,16:53,5v5,OTT,61,b,68,7,,ol,dsr,,y,y,2 on 1,,,,,0,39,20031,10/11/2015,OTT,MTL,,,,7,68,61,3,65,29,,27,81,13,76,79,39
1,15:11,5v5,MTL,13,s,77,,,nr,,,,y,,,,,,0,29,20031,10/11/2015,OTT,MTL,,,,7,68,61,5,46,29,,27,81,13,28,77,39
1,14:38,5v5,MTL,14,w,11,,,ol,,,,y,,,26,y,,0,29,20031,10/11/2015,OTT,MTL,,,,7,68,61,3,65,29,,14,11,67,26,74,39
1,14:07,5v5,OTT,9,o,65,,,oc,,,,y,,,,,,0,39,20031,10/11/2015,OTT,MTL,,,,27,44,9,3,65,29,,51,22,15,76,79,39
1,14:00,5v5,OTT,9,w,44,9,,or,or,,y,y,,,,,,0,39,20031,10/11/2015,OTT,MTL,,,,27,44,9,3,65,29,,51,22,15,76,79,39
1,13:03,5v5,OTT,16,b,25,,,nc,,,,,,,,,,0,39,20031,10/11/2015,OTT,MTL,,,,15,25,16,2,5,29,,27,81,13,28,77,39
1,13:00,5v5,OTT,46,o,16,,,opl,,,,,,,,,,0,39,20031,10/11/2015,OTT,MTL,,,,15,25,16,2,5,29,,27,81,13,28,77,39
1,12:31,5v5,OTT,16,o,93,,,ol,,,,,,,,,,0,39,20031,10/11/2015,OTT,MTL,,,,93,6,16,5,46,29,,27,81,13,28,77,39
1,12:28,5v5,OTT,93,o,6,,,or,,,,,,,,,,0,39,20031,10/11/2015,OTT,MTL,,,,93,6,16,5,46,29,,27,81,13,28,77,39
