Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Penguins,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:20,5v5,ARI,5,w,16,,,opl,,,,,,,,,,0,29,20029,10/10/2015,ARI,PIT,41,29,,81,87,14,28,58,29,,16,50,89,2,5,41
1,19:00,5v5,ARI,10,t,8,5,11,ol,opl,of,,,,,,,,0,29,20029,10/10/2015,ARI,PIT,29,37,,81,87,14,28,58,29,,8,11,10,2,5,41
1,18:38,5v5,ARI,45,w,12,24,,orrc,ol,,y,,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,71,57,61,4,8,29,,24,12,19,34,45,41
1,18:29,5v5,ARI,19,b,24,12,,or,or,,,y,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,71,57,61,4,8,29,,24,12,19,34,45,41
1,18:24,5v5,ARI,24,s,12,,,oell,,,,,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,71,57,61,4,8,29,,24,12,19,34,45,41
1,17:52,4v5,ARI,11,w,5,,,nc,,,,,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,71,41,72,61,58,29,,8,11,2,5,41,0
1,16:39,5v4,PIT,71,w,3,,,dc,,,,y,,,,,,0,41,20029,10/10/2015,ARI,PIT,,,,71,72,61,28,58,29,,8,11,2,5,41,0
1,15:33,5v5,ARI,89,w,48,34,,dl,dl,,,,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,81,87,14,4,8,29,,16,50,89,2,5,41
1,14:14,5v5,ARI,34,w,16,11,,orrr,nc,,,y,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,13,19,57,4,8,29,,8,11,10,34,45,41
1,12:48,5v5,PIT,28,s,58,87,,ol,of,,,,,,,,,0,41,20029,10/10/2015,ARI,PIT,,,,81,87,14,28,58,29,,15,17,48,5,23,41
1,10:36,5v5,PIT,58,w,71,28,71,dc,dl,nf,,y,,,,,,0,41,20029,10/10/2015,ARI,PIT,,,,71,72,61,28,58,29,,24,12,19,2,5,41
1,10:14,5v4,ARI,89,w,50,89,50,ol,oc,opl,,,,,23,y,,0,29,20029,10/10/2015,ARI,PIT,,,,7,13,28,58,29,0,,8,50,19,89,23,41
1,9:56,5v4,ARI,23,w,89,23,89,oc,opr,oc,,,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,7,13,28,58,29,0,,8,50,19,89,23,41
1,9:48,5v4,ARI,23,s,19,8,19,opr,oelr,or,,y,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,7,13,28,58,29,0,,8,50,19,89,23,41
1,9:36,5v4,ARI,23,w,89,,,oprrl,,,,y,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,7,13,28,58,29,0,,8,50,19,89,23,41
1,9:28,5v4,ARI,23,w,11,,,ofp,,,,,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,7,13,28,58,29,0,,8,50,19,89,23,41
1,9:18,5v4,ARI,26,w,10,16,26,orrc,ol,or,y,y,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,11,71,4,12,29,0,,11,16,10,23,26,41
1,7:38,5v5,PIT,87,s,28,,,opr,,,,,,,,,,0,41,20029,10/10/2015,ARI,PIT,,,,81,87,14,28,58,29,,16,50,89,23,26,41
1,6:16,5v5,ARI,45,w,24,19,,orrc,oell,,y,y,,,,,,0,29,20029,10/10/2015,ARI,PIT,,,,71,72,61,3,12,29,,24,12,19,34,45,41
1,5:33,5v5,PIT,41,w,4,71,4,opl,nc,dsc,,,,,,,,0,41,20029,10/10/2015,ARI,PIT,,,,7,11,41,4,8,29,,8,11,10,34,45,41
1,5:29,5v5,PIT,7,w,11,,,opr,,,,,,,,,,0,41,20029,10/10/2015,ARI,PIT,,,,7,11,41,4,8,29,,8,11,10,34,45,41
1,5:19,5v5,PIT,41,w,11,28,,nc,nr,,,,,,,,,0,41,20029,10/10/2015,ARI,PIT,,,,7,11,41,28,58,29,,8,11,10,34,45,41
