Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,STL,F,F,F,D,D,G/Extra Attacker,OPP,F,F,F,D,D,G/Extra Attacker
1,19:40,5v5,STL,91,w,55,20,,dsc,dl,,y,,,,,,,0,30,20129,10/27/2015,STL,T.B,34,30,,12,91,20,4,55,34,,9,86,18,5,25,30
1,19:06,5v5,T.B,27,s,25,,,nl,,,,y,,,,,,0,34,20129,10/27/2015,STL,T.B,1,50,,10,23,42,19,27,34,,91,24,27,6,77,30
1,18:32,5v5,T.B,17,w,6,51,86,oc,nl,dl,,y,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,15,93,36,6,41,34,,17,51,86,6,77,30
1,16:50,5v5,T.B,9,o,86,18,9,or,or,or,y,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,12,91,20,4,55,34,,9,86,18,5,89,30
1,16:21,5v5,STL,42,w,10,27,,oc,dr,,y,y,,,,,,0,30,20129,10/27/2015,STL,T.B,,,,10,23,42,19,27,34,,91,24,27,6,25,30
1,15:51,5v5,STL,6,o,93,,,ofp,,,,,,,,,,0,30,20129,10/27/2015,STL,T.B,,,,93,10,23,19,27,34,,17,51,91,6,25,30
1,14:03,5v5,T.B,24,w,91,27,25,ol,dl,dl,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,10,23,42,4,27,34,,91,24,27,5,25,30
1,13:19,5v5,T.B,17,w,51,77,,,nr,dl,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,9,28,75,19,27,34,,17,51,18,55,62,30
1,13:11,5v5,T.B,17,w,86,,,or,,,,y,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,9,28,75,19,27,34,,17,51,18,55,62,30
1,12:50,5v5,T.B,24,a,6,,,oelr,,,,y,,,27,y,,0,34,20129,10/27/2015,STL,T.B,,,,10,23,42,19,27,34,,91,24,27,6,77,30
1,12:44,5v5,T.B,22,w,89,90,,ol,ofp,,,y,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,12,91,20,6,41,34,,90,22,23,5,89,30
1,10:33,5v5,T.B,77,w,27,77,91,opr,or,ofp,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,12,91,20,19,27,34,,91,24,27,25,77,30
1,10:08,5v5,STL,10,b,36,,,or,,,y,y,,,,,,0,30,20129,10/27/2015,STL,T.B,,,,10,36,42,4,55,34,,51,91,24,6,89,30
1,9:40,5v5,T.B,86,o,91,51,,oell,or,,y,y,,,51,y,,0,34,20129,10/27/2015,STL,T.B,,,,10,36,42,4,55,34,,51,91,86,6,89,30
1,9:38,5v5,T.B,86,r,,,,,,,,y,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,9:11,5v5,T.B,5,w,91,,,ofp,,,,,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,9,28,75,4,55,34,,9,86,18,5,55,30
1,8:52,5v5,T.B,55,b,86,18,,or,dsl,,,y,,,,,,0,34,20129,10/27/2015,STL,T.B,,,,9,28,75,4,55,34,,9,86,18,5,55,30
1,6:45,5v5,STL,91,w,10,55,,ol,nc,,y,y,,,,,,0,30,20129,10/27/2015,STL,T.B,,,,10,42,91,4,55,34,,17,51,24,5,89,30
